Welcome to Advit's Feature Selection Algorithm.
Type in the name of the file to test: 
This dataset has 64 features (not including the class attribute), with 3000 instances.
Running nearest neighbor with all 64 features, using "leaving-one-out" evaluation, I get an accuracy of 68.8%

Type the number of the algorithm you want to run.
1) Forward Selection
2) Backward Elimination

Beginning search.

Using feature(s) {5,7,8,12,15,16,20,24,25,35,42,44,54,59,62,63} accuracy is 77.4%
Using feature(s) {5,7,8,13,15,16,20,24,25,35,42,44,54,59,62,63} accuracy is 76.2%
Using feature(s) {5,7,8,14,15,16,20,24,25,35,42,44,54,59,62,63} accuracy is 76.6%
Using feature(s) {5,7,8,15,16,17,20,24,25,35,42,44,54,59,62,63} accuracy is 75.7%
Using feature(s) {5,7,8,15,16,18,20,24,25,35,42,44,54,59,62,63} accuracy is 75.4%
Using feature(s) {5,7,8,15,16,19,20,24,25,35,42,44,54,59,62,63} accuracy is 76.3%
Using feature(s) {5,7,8,15,16,20,21,24,25,35,42,44,54,59,62,63} accuracy is 76.6%
Using feature(s) {5,7,8,15,16,20,22,24,25,35,42,44,54,59,62,63} accuracy is 75.7%
Using feature(s) {5,7,8,15,16,20,23,24,25,35,42,44,54,59,62,63} accuracy is 76.4%
Using feature(s) {5,7,8,15,16,20,24,25,26,35,42,44,54,59,62,63} accuracy is 76.6%
Using feature(s) {5,7,8,15,16,20,24,25,27,35,42,44,54,59,62,63} accuracy is 77.2%
Using feature(s) {5,7,8,15,16,20,24,25,28,35,42,44,54,59,62,63} accuracy is 76.8%
Using feature(s) {5,7,8,15,16,20,24,25,29,35,42,44,54,59,62,63} accuracy is 76.0%
Using feature(s) {5,7,8,15,16,20,24,25,30,35,42,44,54,59,62,63} accuracy is 76.8%
Using feature(s) {5,7,8,15,16,20,24,25,31,35,42,44,54,59,62,63} accuracy is 76.3%
Using feature(s) {5,7,8,15,16,20,24,25,32,35,42,44,54,59,62,63} accuracy is 76.7%
Using feature(s) {5,7,8,15,16,20,24,25,33,35,42,44,54,59,62,63} accuracy is 76.7%
Using feature(s) {5,7,8,15,16,20,24,25,34,35,42,44,54,59,62,63} accuracy is 77.4%
Using feature(s) {5,7,8,15,16,20,24,25,35,36,42,44,54,59,62,63} accuracy is 75.8%
Using feature(s) {5,7,8,15,16,20,24,25,35,37,42,44,54,59,62,63} accuracy is 76.6%
Using feature(s) {5,7,8,15,16,20,24,25,35,38,42,44,54,59,62,63} accuracy is 76.7%
Using feature(s) {5,7,8,15,16,20,24,25,35,39,42,44,54,59,62,63} accuracy is 76.4%
Using feature(s) {5,7,8,15,16,20,24,25,35,40,42,44,54,59,62,63} accuracy is 76.2%
Using feature(s) {5,7,8,15,16,20,24,25,35,41,42,44,54,59,62,63} accuracy is 76.5%
Using feature(s) {5,7,8,15,16,20,24,25,35,42,43,44,54,59,62,63} accuracy is 76.7%
Using feature(s) {5,7,8,15,16,20,24,25,35,42,44,45,54,59,62,63} accuracy is 76.9%
Using feature(s) {5,7,8,15,16,20,24,25,35,42,44,46,54,59,62,63} accuracy is 75.8%
Using feature(s) {5,7,8,15,16,20,24,25,35,42,44,47,54,59,62,63} accuracy is 75.6%
Using feature(s) {5,7,8,15,16,20,24,25,35,42,44,48,54,59,62,63} accuracy is 76.6%
Using feature(s) {5,7,8,15,16,20,24,25,35,42,44,49,54,59,62,63} accuracy is 76.8%
Using feature(s) {5,7,8,15,16,20,24,25,35,42,44,50,54,59,62,63} accuracy is 75.6%
Using feature(s) {5,7,8,15,16,20,24,25,35,42,44,51,54,59,62,63} accuracy is 76.7%
Using feature(s) {5,7,8,15,16,20,24,25,35,42,44,52,54,59,62,63} accuracy is 76.0%
Using feature(s) {5,7,8,15,16,20,24,25,35,42,44,53,54,59,62,63} accuracy is 75.7%
Using feature(s) {5,7,8,15,16,20,24,25,35,42,44,54,55,59,62,63} accuracy is 75.7%
Using feature(s) {5,7,8,15,16,20,24,25,35,42,44,54,56,59,62,63} accuracy is 77.3%
Using feature(s) {5,7,8,15,16,20,24,25,35,42,44,54,57,59,62,63} accuracy is 76.0%
Using feature(s) {5,7,8,15,16,20,24,25,35,42,44,54,58,59,62,63} accuracy is 76.6%
Using feature(s) {5,7,8,15,16,20,24,25,35,42,44,54,59,60,62,63} accuracy is 76.7%
Using feature(s) {5,7,8,15,16,20,24,25,35,42,44,54,59,61,62,63} accuracy is 77.0%
Using feature(s) {5,7,8,15,16,20,24,25,35,42,44,54,59,62,63,64} accuracy is 75.9%

Feature set {5,7,8,12,15,16,20,24,25,35,42,44,54,59,62,63} was best, accuracy is 77.4%

Using feature(s) {1,5,7,8,12,15,16,20,24,25,35,42,44,54,59,62,63} accuracy is 75.6%
Using feature(s) {2,5,7,8,12,15,16,20,24,25,35,42,44,54,59,62,63} accuracy is 75.2%
Using feature(s) {3,5,7,8,12,15,16,20,24,25,35,42,44,54,59,62,63} accuracy is 76.0%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,42,44,54,59,62,63} accuracy is 77.1%
Using feature(s) {5,6,7,8,12,15,16,20,24,25,35,42,44,54,59,62,63} accuracy is 75.0%
Using feature(s) {5,7,8,9,12,15,16,20,24,25,35,42,44,54,59,62,63} accuracy is 75.0%
Using feature(s) {5,7,8,10,12,15,16,20,24,25,35,42,44,54,59,62,63} accuracy is 76.5%
Using feature(s) {5,7,8,11,12,15,16,20,24,25,35,42,44,54,59,62,63} accuracy is 76.1%
Using feature(s) {5,7,8,12,13,15,16,20,24,25,35,42,44,54,59,62,63} accuracy is 74.9%
Using feature(s) {5,7,8,12,14,15,16,20,24,25,35,42,44,54,59,62,63} accuracy is 76.5%
Using feature(s) {5,7,8,12,15,16,17,20,24,25,35,42,44,54,59,62,63} accuracy is 76.1%
Using feature(s) {5,7,8,12,15,16,18,20,24,25,35,42,44,54,59,62,63} accuracy is 74.8%
Using feature(s) {5,7,8,12,15,16,19,20,24,25,35,42,44,54,59,62,63} accuracy is 76.2%
Using feature(s) {5,7,8,12,15,16,20,21,24,25,35,42,44,54,59,62,63} accuracy is 75.3%
Using feature(s) {5,7,8,12,15,16,20,22,24,25,35,42,44,54,59,62,63} accuracy is 75.2%
Using feature(s) {5,7,8,12,15,16,20,23,24,25,35,42,44,54,59,62,63} accuracy is 76.4%
Using feature(s) {5,7,8,12,15,16,20,24,25,26,35,42,44,54,59,62,63} accuracy is 75.9%
Using feature(s) {5,7,8,12,15,16,20,24,25,27,35,42,44,54,59,62,63} accuracy is 76.8%
Using feature(s) {5,7,8,12,15,16,20,24,25,28,35,42,44,54,59,62,63} accuracy is 75.3%
Using feature(s) {5,7,8,12,15,16,20,24,25,29,35,42,44,54,59,62,63} accuracy is 75.4%
Using feature(s) {5,7,8,12,15,16,20,24,25,30,35,42,44,54,59,62,63} accuracy is 76.2%
Using feature(s) {5,7,8,12,15,16,20,24,25,31,35,42,44,54,59,62,63} accuracy is 75.5%
Using feature(s) {5,7,8,12,15,16,20,24,25,32,35,42,44,54,59,62,63} accuracy is 75.6%
Using feature(s) {5,7,8,12,15,16,20,24,25,33,35,42,44,54,59,62,63} accuracy is 74.7%
Using feature(s) {5,7,8,12,15,16,20,24,25,34,35,42,44,54,59,62,63} accuracy is 76.3%
Using feature(s) {5,7,8,12,15,16,20,24,25,35,36,42,44,54,59,62,63} accuracy is 76.0%
Using feature(s) {5,7,8,12,15,16,20,24,25,35,37,42,44,54,59,62,63} accuracy is 76.4%
Using feature(s) {5,7,8,12,15,16,20,24,25,35,38,42,44,54,59,62,63} accuracy is 76.0%
Using feature(s) {5,7,8,12,15,16,20,24,25,35,39,42,44,54,59,62,63} accuracy is 76.0%
Using feature(s) {5,7,8,12,15,16,20,24,25,35,40,42,44,54,59,62,63} accuracy is 75.2%
Using feature(s) {5,7,8,12,15,16,20,24,25,35,41,42,44,54,59,62,63} accuracy is 75.4%
Using feature(s) {5,7,8,12,15,16,20,24,25,35,42,43,44,54,59,62,63} accuracy is 76.6%
Using feature(s) {5,7,8,12,15,16,20,24,25,35,42,44,45,54,59,62,63} accuracy is 76.2%
Using feature(s) {5,7,8,12,15,16,20,24,25,35,42,44,46,54,59,62,63} accuracy is 74.7%
Using feature(s) {5,7,8,12,15,16,20,24,25,35,42,44,47,54,59,62,63} accuracy is 75.5%
Using feature(s) {5,7,8,12,15,16,20,24,25,35,42,44,48,54,59,62,63} accuracy is 75.6%
Using feature(s) {5,7,8,12,15,16,20,24,25,35,42,44,49,54,59,62,63} accuracy is 75.5%
Using feature(s) {5,7,8,12,15,16,20,24,25,35,42,44,50,54,59,62,63} accuracy is 75.2%
Using feature(s) {5,7,8,12,15,16,20,24,25,35,42,44,51,54,59,62,63} accuracy is 75.7%
Using feature(s) {5,7,8,12,15,16,20,24,25,35,42,44,52,54,59,62,63} accuracy is 75.1%
Using feature(s) {5,7,8,12,15,16,20,24,25,35,42,44,53,54,59,62,63} accuracy is 76.1%
Using feature(s) {5,7,8,12,15,16,20,24,25,35,42,44,54,55,59,62,63} accuracy is 75.9%
Using feature(s) {5,7,8,12,15,16,20,24,25,35,42,44,54,56,59,62,63} accuracy is 76.2%
Using feature(s) {5,7,8,12,15,16,20,24,25,35,42,44,54,57,59,62,63} accuracy is 75.3%
Using feature(s) {5,7,8,12,15,16,20,24,25,35,42,44,54,58,59,62,63} accuracy is 76.2%
Using feature(s) {5,7,8,12,15,16,20,24,25,35,42,44,54,59,60,62,63} accuracy is 76.0%
Using feature(s) {5,7,8,12,15,16,20,24,25,35,42,44,54,59,61,62,63} accuracy is 75.3%
Using feature(s) {5,7,8,12,15,16,20,24,25,35,42,44,54,59,62,63,64} accuracy is 75.8%

Feature set {4,5,7,8,12,15,16,20,24,25,35,42,44,54,59,62,63} was best, accuracy is 77.1%

Using feature(s) {1,4,5,7,8,12,15,16,20,24,25,35,42,44,54,59,62,63} accuracy is 76.1%
Using feature(s) {2,4,5,7,8,12,15,16,20,24,25,35,42,44,54,59,62,63} accuracy is 75.6%
Using feature(s) {3,4,5,7,8,12,15,16,20,24,25,35,42,44,54,59,62,63} accuracy is 75.8%
Using feature(s) {4,5,6,7,8,12,15,16,20,24,25,35,42,44,54,59,62,63} accuracy is 75.6%
Using feature(s) {4,5,7,8,9,12,15,16,20,24,25,35,42,44,54,59,62,63} accuracy is 75.8%
Using feature(s) {4,5,7,8,10,12,15,16,20,24,25,35,42,44,54,59,62,63} accuracy is 75.5%
Using feature(s) {4,5,7,8,11,12,15,16,20,24,25,35,42,44,54,59,62,63} accuracy is 75.4%
Using feature(s) {4,5,7,8,12,13,15,16,20,24,25,35,42,44,54,59,62,63} accuracy is 75.4%
Using feature(s) {4,5,7,8,12,14,15,16,20,24,25,35,42,44,54,59,62,63} accuracy is 75.9%
Using feature(s) {4,5,7,8,12,15,16,17,20,24,25,35,42,44,54,59,62,63} accuracy is 75.8%
Using feature(s) {4,5,7,8,12,15,16,18,20,24,25,35,42,44,54,59,62,63} accuracy is 75.7%
Using feature(s) {4,5,7,8,12,15,16,19,20,24,25,35,42,44,54,59,62,63} accuracy is 75.6%
Using feature(s) {4,5,7,8,12,15,16,20,21,24,25,35,42,44,54,59,62,63} accuracy is 75.0%
Using feature(s) {4,5,7,8,12,15,16,20,22,24,25,35,42,44,54,59,62,63} accuracy is 75.3%
Using feature(s) {4,5,7,8,12,15,16,20,23,24,25,35,42,44,54,59,62,63} accuracy is 75.7%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,26,35,42,44,54,59,62,63} accuracy is 75.4%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,35,42,44,54,59,62,63} accuracy is 76.5%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,28,35,42,44,54,59,62,63} accuracy is 75.8%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,29,35,42,44,54,59,62,63} accuracy is 75.2%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,30,35,42,44,54,59,62,63} accuracy is 75.3%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,31,35,42,44,54,59,62,63} accuracy is 75.0%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,32,35,42,44,54,59,62,63} accuracy is 75.6%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,33,35,42,44,54,59,62,63} accuracy is 74.7%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,34,35,42,44,54,59,62,63} accuracy is 75.7%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,36,42,44,54,59,62,63} accuracy is 75.1%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,37,42,44,54,59,62,63} accuracy is 76.0%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,38,42,44,54,59,62,63} accuracy is 75.7%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,39,42,44,54,59,62,63} accuracy is 74.6%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,40,42,44,54,59,62,63} accuracy is 75.3%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,41,42,44,54,59,62,63} accuracy is 76.7%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,42,43,44,54,59,62,63} accuracy is 76.0%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,42,44,45,54,59,62,63} accuracy is 75.7%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,42,44,46,54,59,62,63} accuracy is 75.2%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,42,44,47,54,59,62,63} accuracy is 74.7%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,42,44,48,54,59,62,63} accuracy is 74.8%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,42,44,49,54,59,62,63} accuracy is 75.9%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,42,44,50,54,59,62,63} accuracy is 75.4%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,42,44,51,54,59,62,63} accuracy is 76.5%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,42,44,52,54,59,62,63} accuracy is 74.4%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,42,44,53,54,59,62,63} accuracy is 76.0%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,42,44,54,55,59,62,63} accuracy is 75.7%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,42,44,54,56,59,62,63} accuracy is 76.3%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,42,44,54,57,59,62,63} accuracy is 75.7%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,42,44,54,58,59,62,63} accuracy is 75.5%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,42,44,54,59,60,62,63} accuracy is 75.9%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,42,44,54,59,61,62,63} accuracy is 75.6%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,42,44,54,59,62,63,64} accuracy is 75.7%

Feature set {4,5,7,8,12,15,16,20,24,25,35,41,42,44,54,59,62,63} was best, accuracy is 76.7%

Using feature(s) {1,4,5,7,8,12,15,16,20,24,25,35,41,42,44,54,59,62,63} accuracy is 74.5%
Using feature(s) {2,4,5,7,8,12,15,16,20,24,25,35,41,42,44,54,59,62,63} accuracy is 74.7%
Using feature(s) {3,4,5,7,8,12,15,16,20,24,25,35,41,42,44,54,59,62,63} accuracy is 75.3%
Using feature(s) {4,5,6,7,8,12,15,16,20,24,25,35,41,42,44,54,59,62,63} accuracy is 75.0%
Using feature(s) {4,5,7,8,9,12,15,16,20,24,25,35,41,42,44,54,59,62,63} accuracy is 74.6%
Using feature(s) {4,5,7,8,10,12,15,16,20,24,25,35,41,42,44,54,59,62,63} accuracy is 74.8%
Using feature(s) {4,5,7,8,11,12,15,16,20,24,25,35,41,42,44,54,59,62,63} accuracy is 75.3%
Using feature(s) {4,5,7,8,12,13,15,16,20,24,25,35,41,42,44,54,59,62,63} accuracy is 75.1%
Using feature(s) {4,5,7,8,12,14,15,16,20,24,25,35,41,42,44,54,59,62,63} accuracy is 75.5%
Using feature(s) {4,5,7,8,12,15,16,17,20,24,25,35,41,42,44,54,59,62,63} accuracy is 74.9%
Using feature(s) {4,5,7,8,12,15,16,18,20,24,25,35,41,42,44,54,59,62,63} accuracy is 75.3%
Using feature(s) {4,5,7,8,12,15,16,19,20,24,25,35,41,42,44,54,59,62,63} accuracy is 75.7%
Using feature(s) {4,5,7,8,12,15,16,20,21,24,25,35,41,42,44,54,59,62,63} accuracy is 74.6%
Using feature(s) {4,5,7,8,12,15,16,20,22,24,25,35,41,42,44,54,59,62,63} accuracy is 75.5%
Using feature(s) {4,5,7,8,12,15,16,20,23,24,25,35,41,42,44,54,59,62,63} accuracy is 75.5%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,26,35,41,42,44,54,59,62,63} accuracy is 75.2%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,35,41,42,44,54,59,62,63} accuracy is 76.3%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,28,35,41,42,44,54,59,62,63} accuracy is 75.7%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,29,35,41,42,44,54,59,62,63} accuracy is 74.7%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,30,35,41,42,44,54,59,62,63} accuracy is 74.5%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,31,35,41,42,44,54,59,62,63} accuracy is 74.5%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,32,35,41,42,44,54,59,62,63} accuracy is 75.2%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,33,35,41,42,44,54,59,62,63} accuracy is 74.4%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,34,35,41,42,44,54,59,62,63} accuracy is 75.9%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,36,41,42,44,54,59,62,63} accuracy is 74.7%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,37,41,42,44,54,59,62,63} accuracy is 75.8%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,38,41,42,44,54,59,62,63} accuracy is 74.6%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,39,41,42,44,54,59,62,63} accuracy is 74.8%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,40,41,42,44,54,59,62,63} accuracy is 75.0%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,41,42,43,44,54,59,62,63} accuracy is 76.1%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,41,42,44,45,54,59,62,63} accuracy is 75.9%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,41,42,44,46,54,59,62,63} accuracy is 75.5%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,41,42,44,47,54,59,62,63} accuracy is 74.3%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,41,42,44,48,54,59,62,63} accuracy is 74.7%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,41,42,44,49,54,59,62,63} accuracy is 74.6%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,41,42,44,50,54,59,62,63} accuracy is 75.3%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,41,42,44,51,54,59,62,63} accuracy is 75.4%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,41,42,44,52,54,59,62,63} accuracy is 73.9%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,41,42,44,53,54,59,62,63} accuracy is 74.6%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,41,42,44,54,55,59,62,63} accuracy is 74.9%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,41,42,44,54,56,59,62,63} accuracy is 75.3%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,41,42,44,54,57,59,62,63} accuracy is 75.6%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,41,42,44,54,58,59,62,63} accuracy is 75.4%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,41,42,44,54,59,60,62,63} accuracy is 75.0%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,41,42,44,54,59,61,62,63} accuracy is 75.3%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,35,41,42,44,54,59,62,63,64} accuracy is 75.4%

Feature set {4,5,7,8,12,15,16,20,24,25,27,35,41,42,44,54,59,62,63} was best, accuracy is 76.3%

Using feature(s) {1,4,5,7,8,12,15,16,20,24,25,27,35,41,42,44,54,59,62,63} accuracy is 74.7%
Using feature(s) {2,4,5,7,8,12,15,16,20,24,25,27,35,41,42,44,54,59,62,63} accuracy is 74.3%
Using feature(s) {3,4,5,7,8,12,15,16,20,24,25,27,35,41,42,44,54,59,62,63} accuracy is 74.7%
Using feature(s) {4,5,6,7,8,12,15,16,20,24,25,27,35,41,42,44,54,59,62,63} accuracy is 74.9%
Using feature(s) {4,5,7,8,9,12,15,16,20,24,25,27,35,41,42,44,54,59,62,63} accuracy is 74.3%
Using feature(s) {4,5,7,8,10,12,15,16,20,24,25,27,35,41,42,44,54,59,62,63} accuracy is 74.3%
Using feature(s) {4,5,7,8,11,12,15,16,20,24,25,27,35,41,42,44,54,59,62,63} accuracy is 75.0%
Using feature(s) {4,5,7,8,12,13,15,16,20,24,25,27,35,41,42,44,54,59,62,63} accuracy is 75.0%
Using feature(s) {4,5,7,8,12,14,15,16,20,24,25,27,35,41,42,44,54,59,62,63} accuracy is 74.4%
Using feature(s) {4,5,7,8,12,15,16,17,20,24,25,27,35,41,42,44,54,59,62,63} accuracy is 74.5%
Using feature(s) {4,5,7,8,12,15,16,18,20,24,25,27,35,41,42,44,54,59,62,63} accuracy is 75.5%
Using feature(s) {4,5,7,8,12,15,16,19,20,24,25,27,35,41,42,44,54,59,62,63} accuracy is 74.8%
Using feature(s) {4,5,7,8,12,15,16,20,21,24,25,27,35,41,42,44,54,59,62,63} accuracy is 75.3%
Using feature(s) {4,5,7,8,12,15,16,20,22,24,25,27,35,41,42,44,54,59,62,63} accuracy is 75.0%
Using feature(s) {4,5,7,8,12,15,16,20,23,24,25,27,35,41,42,44,54,59,62,63} accuracy is 74.7%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,26,27,35,41,42,44,54,59,62,63} accuracy is 74.6%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,28,35,41,42,44,54,59,62,63} accuracy is 74.9%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,29,35,41,42,44,54,59,62,63} accuracy is 74.6%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,30,35,41,42,44,54,59,62,63} accuracy is 75.1%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,31,35,41,42,44,54,59,62,63} accuracy is 74.4%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,32,35,41,42,44,54,59,62,63} accuracy is 74.9%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,33,35,41,42,44,54,59,62,63} accuracy is 75.0%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,34,35,41,42,44,54,59,62,63} accuracy is 74.1%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,35,36,41,42,44,54,59,62,63} accuracy is 75.0%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,35,37,41,42,44,54,59,62,63} accuracy is 75.7%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,35,38,41,42,44,54,59,62,63} accuracy is 74.2%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,35,39,41,42,44,54,59,62,63} accuracy is 74.8%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,35,40,41,42,44,54,59,62,63} accuracy is 74.4%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,35,41,42,43,44,54,59,62,63} accuracy is 75.8%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,35,41,42,44,45,54,59,62,63} accuracy is 74.6%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,35,41,42,44,46,54,59,62,63} accuracy is 74.9%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,35,41,42,44,47,54,59,62,63} accuracy is 74.0%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,35,41,42,44,48,54,59,62,63} accuracy is 74.1%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,35,41,42,44,49,54,59,62,63} accuracy is 74.5%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,35,41,42,44,50,54,59,62,63} accuracy is 75.3%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,35,41,42,44,51,54,59,62,63} accuracy is 75.0%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,35,41,42,44,52,54,59,62,63} accuracy is 73.8%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,35,41,42,44,53,54,59,62,63} accuracy is 75.0%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,35,41,42,44,54,55,59,62,63} accuracy is 74.8%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,35,41,42,44,54,56,59,62,63} accuracy is 75.3%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,35,41,42,44,54,57,59,62,63} accuracy is 75.1%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,35,41,42,44,54,58,59,62,63} accuracy is 75.2%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,35,41,42,44,54,59,60,62,63} accuracy is 74.3%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,35,41,42,44,54,59,61,62,63} accuracy is 75.2%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,35,41,42,44,54,59,62,63,64} accuracy is 75.3%

Feature set {4,5,7,8,12,15,16,20,24,25,27,35,41,42,43,44,54,59,62,63} was best, accuracy is 75.8%

Using feature(s) {1,4,5,7,8,12,15,16,20,24,25,27,35,41,42,43,44,54,59,62,63} accuracy is 74.6%
Using feature(s) {2,4,5,7,8,12,15,16,20,24,25,27,35,41,42,43,44,54,59,62,63} accuracy is 74.2%
Using feature(s) {3,4,5,7,8,12,15,16,20,24,25,27,35,41,42,43,44,54,59,62,63} accuracy is 74.8%
Using feature(s) {4,5,6,7,8,12,15,16,20,24,25,27,35,41,42,43,44,54,59,62,63} accuracy is 75.5%
Using feature(s) {4,5,7,8,9,12,15,16,20,24,25,27,35,41,42,43,44,54,59,62,63} accuracy is 74.9%
Using feature(s) {4,5,7,8,10,12,15,16,20,24,25,27,35,41,42,43,44,54,59,62,63} accuracy is 75.3%
Using feature(s) {4,5,7,8,11,12,15,16,20,24,25,27,35,41,42,43,44,54,59,62,63} accuracy is 74.8%
Using feature(s) {4,5,7,8,12,13,15,16,20,24,25,27,35,41,42,43,44,54,59,62,63} accuracy is 75.0%
Using feature(s) {4,5,7,8,12,14,15,16,20,24,25,27,35,41,42,43,44,54,59,62,63} accuracy is 74.8%
Using feature(s) {4,5,7,8,12,15,16,17,20,24,25,27,35,41,42,43,44,54,59,62,63} accuracy is 75.0%
Using feature(s) {4,5,7,8,12,15,16,18,20,24,25,27,35,41,42,43,44,54,59,62,63} accuracy is 76.3%
Using feature(s) {4,5,7,8,12,15,16,19,20,24,25,27,35,41,42,43,44,54,59,62,63} accuracy is 75.6%
Using feature(s) {4,5,7,8,12,15,16,20,21,24,25,27,35,41,42,43,44,54,59,62,63} accuracy is 75.2%
Using feature(s) {4,5,7,8,12,15,16,20,22,24,25,27,35,41,42,43,44,54,59,62,63} accuracy is 74.9%
Using feature(s) {4,5,7,8,12,15,16,20,23,24,25,27,35,41,42,43,44,54,59,62,63} accuracy is 75.6%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,26,27,35,41,42,43,44,54,59,62,63} accuracy is 75.0%
Using feature(s) {4,5,7,8,12,15,16,20,24,25,27,28,35,41,42,43,44,54,59,62,63} accuracy is 74.7%
