Welcome to Advit's Feature Selection Algorithm.
Type in the name of the file to test: 
This dataset has 64 features (not including the class attribute), with 3000 instances.
Running nearest neighbor with all 64 features, using "leaving-one-out" evaluation, I get an accuracy of 68.8%

Type the number of the algorithm you want to run.
1) Forward Selection
2) Backward Elimination

Beginning search.

Using feature(s) {7,10,24} accuracy is 94.3%
Using feature(s) {7,11,24} accuracy is 94.3%
Using feature(s) {7,12,24} accuracy is 93.7%
Using feature(s) {7,13,24} accuracy is 94.2%
Using feature(s) {7,14,24} accuracy is 93.8%
Using feature(s) {7,15,24} accuracy is 94.6%
Using feature(s) {7,16,24} accuracy is 94.3%
Using feature(s) {7,17,24} accuracy is 94.1%
Using feature(s) {7,18,24} accuracy is 93.9%
Using feature(s) {7,19,24} accuracy is 93.9%
Using feature(s) {7,20,24} accuracy is 93.8%
Using feature(s) {7,21,24} accuracy is 94.1%
Using feature(s) {7,22,24} accuracy is 93.9%
Using feature(s) {7,23,24} accuracy is 94.3%
Using feature(s) {7,24,25} accuracy is 93.9%
Using feature(s) {7,24,26} accuracy is 94.4%
Using feature(s) {7,24,27} accuracy is 93.7%
Using feature(s) {7,24,28} accuracy is 94.3%
Using feature(s) {7,24,29} accuracy is 94.5%
Using feature(s) {7,24,30} accuracy is 93.9%
Using feature(s) {7,24,31} accuracy is 93.8%
Using feature(s) {7,24,32} accuracy is 94.1%
Using feature(s) {7,24,33} accuracy is 93.7%
Using feature(s) {7,24,34} accuracy is 93.7%
Using feature(s) {7,24,35} accuracy is 94.1%
Using feature(s) {7,24,36} accuracy is 94.6%
Using feature(s) {7,24,37} accuracy is 94.2%
Using feature(s) {7,24,38} accuracy is 93.9%
Using feature(s) {7,24,39} accuracy is 93.8%
Using feature(s) {7,24,40} accuracy is 93.9%
Using feature(s) {7,24,41} accuracy is 93.9%
Using feature(s) {7,24,42} accuracy is 93.7%
Using feature(s) {7,24,43} accuracy is 94.0%
Using feature(s) {7,24,44} accuracy is 94.6%
Using feature(s) {7,24,45} accuracy is 93.3%
Using feature(s) {7,24,46} accuracy is 94.7%
Using feature(s) {7,24,47} accuracy is 94.3%
Using feature(s) {7,24,48} accuracy is 94.4%
Using feature(s) {7,24,49} accuracy is 94.0%
Using feature(s) {7,24,50} accuracy is 94.4%
Using feature(s) {7,24,51} accuracy is 94.7%
Using feature(s) {7,24,52} accuracy is 94.3%
Using feature(s) {7,24,53} accuracy is 93.6%
Using feature(s) {7,24,54} accuracy is 95.2%
Using feature(s) {7,24,55} accuracy is 94.1%
Using feature(s) {7,24,56} accuracy is 93.9%
Using feature(s) {7,24,57} accuracy is 94.5%
Using feature(s) {7,24,58} accuracy is 94.6%
Using feature(s) {7,24,59} accuracy is 96.4%
Using feature(s) {7,24,60} accuracy is 94.2%
Using feature(s) {7,24,61} accuracy is 93.9%
Using feature(s) {7,24,62} accuracy is 94.3%
Using feature(s) {7,24,63} accuracy is 94.1%
Using feature(s) {7,24,64} accuracy is 94.1%

Feature set {7,24,59} was best, accuracy is 96.4%

Using feature(s) {1,7,24,59} accuracy is 93.2%
Using feature(s) {2,7,24,59} accuracy is 94.0%
Using feature(s) {3,7,24,59} accuracy is 94.0%
Using feature(s) {4,7,24,59} accuracy is 94.2%
Using feature(s) {5,7,24,59} accuracy is 93.8%
Using feature(s) {6,7,24,59} accuracy is 93.2%
Using feature(s) {7,8,24,59} accuracy is 94.3%
Using feature(s) {7,9,24,59} accuracy is 93.6%
Using feature(s) {7,10,24,59} accuracy is 93.7%
Using feature(s) {7,11,24,59} accuracy is 94.1%
Using feature(s) {7,12,24,59} accuracy is 93.5%
Using feature(s) {7,13,24,59} accuracy is 93.4%
Using feature(s) {7,14,24,59} accuracy is 93.5%
Using feature(s) {7,15,24,59} accuracy is 93.8%
Using feature(s) {7,16,24,59} accuracy is 93.9%
Using feature(s) {7,17,24,59} accuracy is 92.7%
Using feature(s) {7,18,24,59} accuracy is 93.7%
Using feature(s) {7,19,24,59} accuracy is 92.9%
Using feature(s) {7,20,24,59} accuracy is 93.6%
Using feature(s) {7,21,24,59} accuracy is 93.6%
Using feature(s) {7,22,24,59} accuracy is 93.7%
Using feature(s) {7,23,24,59} accuracy is 93.9%
Using feature(s) {7,24,25,59} accuracy is 93.2%
Using feature(s) {7,24,26,59} accuracy is 94.2%
Using feature(s) {7,24,27,59} accuracy is 93.2%
Using feature(s) {7,24,28,59} accuracy is 93.3%
Using feature(s) {7,24,29,59} accuracy is 93.8%
Using feature(s) {7,24,30,59} accuracy is 93.3%
Using feature(s) {7,24,31,59} accuracy is 93.8%
Using feature(s) {7,24,32,59} accuracy is 93.4%
Using feature(s) {7,24,33,59} accuracy is 93.8%
Using feature(s) {7,24,34,59} accuracy is 93.4%
Using feature(s) {7,24,35,59} accuracy is 94.1%
Using feature(s) {7,24,36,59} accuracy is 94.6%
Using feature(s) {7,24,37,59} accuracy is 93.4%
Using feature(s) {7,24,38,59} accuracy is 94.3%
Using feature(s) {7,24,39,59} accuracy is 92.5%
Using feature(s) {7,24,40,59} accuracy is 93.6%
Using feature(s) {7,24,41,59} accuracy is 93.9%
